model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,brier_podium,brier_top10,brier_win
model,22,0.7272727272727273,0.5606060606060607,0.0,0.7454545454545454,3.569524811489247,0.08098730886850154,0.2050126911314985,0.02063124362895005
grid_baseline,22,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.7363636363636363,3.7454128440366974,0.11009174311926606,0.26605504587155965,0.03669724770642202
pole_sitter_baseline,22,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.7363636363636363,3.7454128440366974,0.11009174311926606,0.26605504587155965,0.03669724770642202
constructor_strength_baseline,22,0.0,0.21212121212121213,0.0,0.7363636363636363,4.93348623853211,0.23853211009174313,0.26605504587155965,0.10091743119266056
