model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,brier_podium,brier_top10,brier_win,alpha
blend_alpha_0.00,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.787878787878788,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.0
blend_alpha_0.05,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.763281294358817,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.05
blend_alpha_0.10,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.7386838008388485,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.1
blend_alpha_0.15,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.714086307318879,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.15
blend_alpha_0.20,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.6895185367220655,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.2
blend_alpha_0.25,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6833333333333332,4.67032962632072,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.25
blend_alpha_0.30,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6999999999999998,4.653292067962642,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.3
blend_alpha_0.35,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6999999999999998,4.63976621195041,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.35
blend_alpha_0.40,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6999999999999998,4.6299996299300314,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.4
blend_alpha_0.45,6,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6999999999999998,4.630940405110244,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.45
blend_alpha_0.50,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6999999999999998,4.635388328910373,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.5
blend_alpha_0.55,6,0.8333333333333334,0.611111111111111,0.16666666666666666,0.6999999999999998,4.6398362527105,0.08952878787878789,0.24086818181818184,0.01854191919191919,0.55
blend_alpha_0.60,6,0.8333333333333334,0.5555555555555555,0.0,0.6999999999999998,4.647062823028329,0.08952878787878789,0.24086818181818184,0.01854191919191919,0.6
blend_alpha_0.65,6,0.8333333333333334,0.5555555555555555,0.0,0.6833333333333332,4.655530179492811,0.08952878787878789,0.2408681818181818,0.01854191919191919,0.65
blend_alpha_0.70,6,0.8333333333333334,0.4444444444444445,0.0,0.6833333333333332,4.663997535957292,0.08952878787878789,0.24086818181818184,0.01854191919191919,0.7
blend_alpha_0.75,6,0.8333333333333334,0.4444444444444445,0.0,0.6833333333333332,4.675580512806085,0.08952878787878789,0.24086818181818184,0.01854191919191919,0.75
blend_alpha_0.80,6,0.8333333333333334,0.4444444444444445,0.0,0.6666666666666666,4.6913090564973725,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.8
blend_alpha_0.85,6,0.8333333333333334,0.4444444444444445,0.0,0.6666666666666666,4.713424507875642,0.08952878787878787,0.24086818181818184,0.01854191919191919,0.85
blend_alpha_0.90,6,0.8333333333333334,0.4444444444444445,0.0,0.6666666666666666,4.735782812260483,0.08952878787878786,0.24086818181818184,0.01854191919191919,0.9
blend_alpha_0.95,6,0.8333333333333334,0.4444444444444445,0.0,0.6666666666666666,4.764565941096761,0.08952878787878786,0.24086818181818184,0.01854191919191919,0.95
blend_alpha_1.00,6,0.8333333333333334,0.4444444444444445,0.0,0.65,4.796831772127372,0.08952878787878787,0.24086818181818184,0.01854191919191919,1.0
