model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,brier_podium,brier_top10,brier_win
model,24,0.5833333333333334,0.7083333333333334,0.0,0.7916666666666666,3.052906295721058,0.06115830421616585,0.16993526671325415,0.02834293035173538
grid_baseline,24,0.625,0.736111111111111,0.16666666666666666,0.775,3.39832285115304,0.07966457023060797,0.22641509433962265,0.03773584905660377
pole_sitter_baseline,24,0.625,0.736111111111111,0.16666666666666666,0.775,3.39832285115304,0.07966457023060797,0.22641509433962265,0.03773584905660377
constructor_strength_baseline,24,0.0,0.26388888888888884,0.0,0.6416666666666666,4.890985324947589,0.2222222222222222,0.36058700209643607,0.10062893081761007
