model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,brier_podium,brier_top10,brier_win
model,24,0.4583333333333333,0.5972222222222222,0.0,0.85,2.8304211281560825,0.08304245439469321,0.11793484956171524,0.034247145226249706
grid_baseline,24,0.4583333333333333,0.6666666666666666,0.08333333333333333,0.8333333333333334,2.8251599147121533,0.10021321961620469,0.16631130063965885,0.053304904051172705
pole_sitter_baseline,24,0.4583333333333333,0.6666666666666666,0.08333333333333333,0.8333333333333334,2.8251599147121533,0.10021321961620469,0.16631130063965885,0.053304904051172705
constructor_strength_baseline,24,0.08333333333333333,0.3055555555555555,0.0,0.7666666666666667,3.88272921108742,0.21108742004264391,0.2302771855010661,0.09168443496801706
