model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.552990033222591,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.485049833887043,0.7160003665672032,0.1
rank_blend_0.15,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8235294117647058,2.4184385382059803,0.7272223261774344,0.15
rank_blend_0.20,34,0.5882352941176471,0.6568627450980392,0.08823529411764706,0.8294117647058823,2.3578073089701,0.7372923758691378,0.2
rank_blend_0.25,34,0.5882352941176471,0.6666666666666666,0.08823529411764706,0.8470588235294116,2.3056478405315612,0.7553024246135701,0.25
rank_blend_0.30,34,0.6176470588235294,0.6764705882352942,0.11764705882352941,0.8529411764705882,2.2700996677740863,0.7604966968926175,0.3
rank_blend_0.35,34,0.6470588235294118,0.6666666666666669,0.14705882352941177,0.852941176470588,2.2398671096345515,0.7693791639065725,0.35
rank_blend_0.40,34,0.6470588235294118,0.6666666666666667,0.14705882352941177,0.8588235294117645,2.2182724252491695,0.7782201461198912,0.4
rank_blend_0.45,34,0.6176470588235294,0.6666666666666667,0.11764705882352941,0.8558823529411764,2.2116279069767444,0.7796953539691657,0.45
rank_blend_0.50,34,0.5882352941176471,0.6568627450980392,0.14705882352941177,0.8441176470588236,2.2093023255813953,0.7777928151493987,0.5
rank_blend_0.55,34,0.5882352941176471,0.6568627450980392,0.14705882352941177,0.8441176470588236,2.224584717607973,0.782270430201135,0.55
rank_blend_0.60,34,0.5882352941176471,0.6372549019607843,0.11764705882352941,0.8441176470588236,2.248172757475083,0.7809134727956435,0.6
rank_blend_0.65,34,0.5882352941176471,0.6274509803921569,0.14705882352941177,0.8441176470588236,2.2842192691029903,0.7765404077801638,0.65
rank_blend_0.70,34,0.47058823529411764,0.5784313725490196,0.11764705882352941,0.8441176470588236,2.333554817275747,0.769516693317003,0.7
rank_blend_0.75,34,0.47058823529411764,0.5784313725490196,0.11764705882352941,0.8441176470588235,2.392857142857143,0.7572773846380657,0.75
rank_blend_0.80,34,0.5,0.5490196078431372,0.08823529411764706,0.8382352941176471,2.460797342192691,0.7491715798012465,0.8
rank_blend_0.85,34,0.47058823529411764,0.5392156862745098,0.08823529411764706,0.838235294117647,2.535049833887043,0.7416078624829306,0.85
rank_blend_0.90,34,0.47058823529411764,0.5294117647058824,0.08823529411764706,0.8323529411764705,2.616279069767442,0.7344488283524889,0.9
rank_blend_0.95,34,0.47058823529411764,0.5196078431372548,0.058823529411764705,0.8323529411764705,2.700830564784053,0.7301075252677874,0.95
rank_blend_1.00,34,0.47058823529411764,0.5196078431372548,0.058823529411764705,0.8323529411764705,2.7890365448504983,0.7301075252677874,1.0
