model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha,ablation,excluded_features
rank_blend_0.50,34,0.6176470588235294,0.6470588235294119,0.17647058823529413,0.8500000000000001,2.2043189368770766,0.7774639219822248,0.5,full_model,
rank_blend_0.50,34,0.5882352941176471,0.6568627450980392,0.14705882352941177,0.8441176470588236,2.2093023255813953,0.7777928151493987,0.5,without_recent_form,drv_form3|team_form3
rank_blend_0.50,34,0.6470588235294118,0.6372549019607843,0.17647058823529413,0.85,2.2093023255813953,0.7731233777149821,0.5,without_archetype_form,highdf_driver_form3|highdf_team_form3|longstraight_driver_form3|longstraight_team_form3
rank_blend_0.50,34,0.5882352941176471,0.6568627450980392,0.17647058823529413,0.85,2.2142857142857144,0.7732017527182342,0.5,without_driver_skill,driver_skill_rating
rank_blend_0.45,34,0.6176470588235294,0.6666666666666666,0.14705882352941177,0.8588235294117645,2.23156146179402,0.7817693438413709,0.45,without_identities,driver|team
