model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.5541528239202655,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.487043189368771,0.7161772794376146,0.1
rank_blend_0.15,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.421594684385382,0.7279642328472231,0.15
rank_blend_0.20,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8294117647058823,2.3611295681063122,0.7382412229002103,0.2
rank_blend_0.25,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8470588235294116,2.308970099667774,0.7565184837926597,0.25
rank_blend_0.30,34,0.5882352941176471,0.6470588235294117,0.058823529411764705,0.8529411764705882,2.2714285714285714,0.7631667587254002,0.3
rank_blend_0.35,34,0.6470588235294118,0.6666666666666669,0.14705882352941177,0.8558823529411764,2.238039867109634,0.7703217235929857,0.35
rank_blend_0.40,34,0.6470588235294118,0.6568627450980393,0.08823529411764706,0.8617647058823529,2.2142857142857144,0.779267531018123,0.4
rank_blend_0.45,34,0.6176470588235294,0.6568627450980393,0.08823529411764706,0.8558823529411764,2.206478405315615,0.7812023654424856,0.45
rank_blend_0.50,34,0.6176470588235294,0.6470588235294119,0.17647058823529413,0.8500000000000001,2.2043189368770766,0.7774639219822248,0.5
rank_blend_0.55,34,0.6176470588235294,0.6470588235294119,0.17647058823529413,0.8470588235294118,2.2227574750830565,0.7790778683466719,0.55
rank_blend_0.60,34,0.6176470588235294,0.627450980392157,0.17647058823529413,0.8470588235294118,2.252159468438538,0.7783463933322793,0.6
rank_blend_0.65,34,0.6176470588235294,0.6274509803921569,0.20588235294117646,0.8470588235294118,2.291029900332226,0.7743021130814794,0.65
rank_blend_0.70,34,0.5,0.5980392156862744,0.14705882352941177,0.8441176470588235,2.341196013289036,0.7714019210923236,0.7
rank_blend_0.75,34,0.47058823529411764,0.5784313725490196,0.11764705882352941,0.8441176470588235,2.4003322259136213,0.7574809645220317,0.75
rank_blend_0.80,34,0.5,0.5392156862745097,0.08823529411764706,0.8352941176470587,2.4707641196013292,0.748281053312013,0.8
rank_blend_0.85,34,0.5,0.5294117647058822,0.08823529411764706,0.838235294117647,2.5480066445182725,0.7383302046705797,0.85
rank_blend_0.90,34,0.5,0.5294117647058822,0.08823529411764706,0.8323529411764705,2.63156146179402,0.7327409470575561,0.9
rank_blend_0.95,34,0.47058823529411764,0.5196078431372548,0.058823529411764705,0.8323529411764706,2.71843853820598,0.7279212637662829,0.95
rank_blend_1.00,34,0.47058823529411764,0.5196078431372548,0.058823529411764705,0.8323529411764706,2.808970099667774,0.7279212637662829,1.0
