year,gp,date,driver,team,grid_pos,DriverNumber,sc_prob,vsc_prob,pit_loss,expected_stops,overtake_index,tow_importance,is_low_df,is_street,long_straight_index,braking_intensity,warmup_penalty,deg_rate,stint_len_typical,surface_bumpiness,wind_sensitivity,track_limits_risk,elevation_change_index,mechanical_failure_risk,corner_count,avg_speed_kph,rain_prob_race,wet_lap_fraction,wet_start_prob,mixed_conditions_risk,drv_form3,driver_hist_strength,lowdf_driver_form3,street_driver_form3,longstraight_driver_form3,highdf_driver_form3,team_form3,team_hist_strength,lowdf_team_form3,street_team_form3,longstraight_team_form3,highdf_team_form3,driver_skill_prior,rookie_flag,returnee_flag,team_prior_strength,driver_strength_blend_2026,team_strength_blend_2026
2026,Dutch Grand Prix,2026-08-23,GAS,Alpine,11,10,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,11.333333333333334,0.4199999999999998,12.0,8.5,11.0,13.0,11.333333333333334,0.48863636363636365,14.166666666666666,9.333333333333334,12.666666666666666,13.666666666666666,0.79,0,0,0.71,0.4199999999999998,0.48863636363636365
2026,Dutch Grand Prix,2026-08-23,HUL,Audi,13,27,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,12.666666666666666,0.33999999999999986,11.0,16.5,9.0,13.333333333333334,10.0,0.5795454545454546,10.166666666666666,14.75,10.0,12.0,0.75,0,0,0.65,0.33999999999999986,0.5795454545454546
2026,Dutch Grand Prix,2026-08-23,COL,Alpine,14,43,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,11.333333333333334,0.4199999999999998,16.333333333333332,13.0,14.333333333333334,14.333333333333334,11.333333333333334,0.48863636363636365,14.166666666666666,9.333333333333334,12.666666666666666,13.666666666666666,0.74,0,0,0.71,0.4199999999999998,0.48863636363636365
2026,Dutch Grand Prix,2026-08-23,OCO,Haas F1 Team,15,31,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,15.333333333333334,0.17999999999999983,13.666666666666666,5.0,14.666666666666666,11.666666666666666,14.333333333333334,0.28409090909090906,12.833333333333334,13.75,13.5,11.0,0.67,0,0,0.61,0.17999999999999983,0.28409090909090906
2026,Dutch Grand Prix,2026-08-23,ALB,Williams,16,23,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,13.333333333333334,0.2999999999999998,11.666666666666666,10.666666666666666,10.333333333333334,9.333333333333334,16.5,0.13636363636363635,14.5,12.5,15.333333333333334,11.833333333333334,0.68,0,0,0.57,0.2999999999999998,0.13636363636363635
2026,Dutch Grand Prix,2026-08-23,SAI,Williams,17,55,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,15.0,0.19999999999999984,9.0,7.0,15.666666666666666,14.333333333333334,16.5,0.13636363636363635,14.5,12.5,15.333333333333334,11.833333333333334,0.69,0,0,0.57,0.19999999999999984,0.13636363636363635
2026,Dutch Grand Prix,2026-08-23,ALO,Aston Martin,18,14,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,18.333333333333332,0.0,14.0,6.5,17.666666666666668,7.666666666666667,18.5,0.0,14.666666666666666,9.833333333333334,17.333333333333332,7.833333333333333,0.7,0,0,0.51,0.0,0.0
2026,Dutch Grand Prix,2026-08-23,STR,Aston Martin,19,18,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,17.0,0.07999999999999985,12.666666666666666,14.0,11.666666666666666,9.666666666666666,18.5,0.0,14.666666666666666,9.833333333333334,17.333333333333332,7.833333333333333,0.62,0,0,0.51,0.07999999999999985,0.0
2026,Dutch Grand Prix,2026-08-23,BEA,Haas F1 Team,20,87,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,13.333333333333334,0.2999999999999998,12.0,13.333333333333334,12.333333333333334,9.0,14.333333333333334,0.28409090909090906,12.833333333333334,13.75,13.5,11.0,0.72,0,0,0.61,0.2999999999999998,0.28409090909090906
2026,Dutch Grand Prix,2026-08-23,BOT,Cadillac,21,77,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,16.666666666666668,0.09999999999999976,14.333333333333334,11.0,15.333333333333334,14.333333333333334,14.666666666666666,0.26136363636363646,14.666666666666666,17.0,15.0,17.0,0.59,0,1,0.44,0.09999999999999976,0.26136363636363646
2026,Dutch Grand Prix,2026-08-23,PER,Cadillac,22,11,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,15.0,0.19999999999999984,4.0,16.0,10.333333333333334,5.666666666666667,14.666666666666666,0.26136363636363646,14.666666666666666,17.0,15.0,17.0,0.58,0,1,0.44,0.19999999999999984,0.26136363636363646
2026,Dutch Grand Prix,2026-08-23,HAD,Red Bull Racing,99,6,0.48,0.32,21.0,1.7,0.34,0.42,0.0,0.0,0.38,0.58,0.1,0.64,25.0,0.38,0.78,0.58,0.62,0.5,14.0,215.0,0.24,0.09,0.06,0.18,5.666666666666667,0.76,12.666666666666666,6.0,10.333333333333334,6.0,7.0,0.7840909090909091,9.5,8.333333333333334,8.333333333333334,7.5,0.87,0,0,0.89,0.76,0.7840909090909091
