model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.5541528239202655,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.487375415282392,0.71579396821839,0.1
rank_blend_0.15,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8235294117647058,2.422093023255814,0.7271632218021764,0.15
rank_blend_0.20,34,0.5588235294117647,0.6568627450980392,0.058823529411764705,0.8294117647058823,2.3611295681063122,0.737490102018421,0.2
rank_blend_0.25,34,0.6176470588235294,0.6470588235294117,0.08823529411764706,0.85,2.3106312292358804,0.7577239278659785,0.25
rank_blend_0.30,34,0.6470588235294118,0.6568627450980391,0.08823529411764706,0.8558823529411764,2.2734219269102987,0.7650486260234031,0.3
rank_blend_0.35,34,0.6176470588235294,0.6666666666666669,0.14705882352941177,0.8558823529411764,2.240697674418605,0.7710665571301157,0.35
rank_blend_0.40,34,0.6176470588235294,0.6568627450980393,0.08823529411764706,0.8617647058823529,2.2182724252491695,0.7781453483989451,0.4
rank_blend_0.45,34,0.5882352941176471,0.6568627450980393,0.08823529411764706,0.8529411764705881,2.2112956810631235,0.7782305110660602,0.45
rank_blend_0.50,34,0.5882352941176471,0.6470588235294119,0.14705882352941177,0.8470588235294119,2.2093023255813953,0.7744749233344209,0.5
rank_blend_0.55,34,0.5882352941176471,0.6470588235294119,0.14705882352941177,0.8470588235294119,2.227076411960133,0.7773493739005486,0.55
rank_blend_0.60,34,0.5882352941176471,0.6372549019607844,0.14705882352941177,0.8441176470588236,2.2528239202657807,0.7757488360907593,0.6
rank_blend_0.65,34,0.5882352941176471,0.6372549019607843,0.17647058823529413,0.8411764705882354,2.2893687707641193,0.7749712650004036,0.65
rank_blend_0.70,34,0.5294117647058824,0.6078431372549019,0.14705882352941177,0.8411764705882354,2.3385382059800666,0.7725369869309953,0.7
rank_blend_0.75,34,0.5,0.588235294117647,0.11764705882352941,0.8441176470588235,2.3970099667774085,0.7562446173992339,0.75
rank_blend_0.80,34,0.5,0.5392156862745097,0.08823529411764706,0.8352941176470587,2.468106312292359,0.7468295355770315,0.8
rank_blend_0.85,34,0.5,0.5392156862745097,0.08823529411764706,0.838235294117647,2.545182724252492,0.7384187361536662,0.85
rank_blend_0.90,34,0.5,0.5392156862745097,0.08823529411764706,0.8294117647058823,2.627574750830565,0.7321683484062832,0.9
rank_blend_0.95,34,0.47058823529411764,0.5294117647058822,0.058823529411764705,0.8294117647058823,2.71312292358804,0.7274211863835794,0.95
rank_blend_1.00,34,0.47058823529411764,0.5294117647058822,0.058823529411764705,0.8294117647058823,2.802325581395349,0.7274211863835794,1.0
